"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API","0","Catalog API","1","0","API-09: The products list returns every catalog product","0"
"0","Functional E2E","0","Home Page","2","0","TC-02: The header shows a different menu and account state for a guest and a signed-in visitor","0"
"0","API","0","Catalog API","1","0","API-11: Searching returns only products matching the term","0"
"0","Functional E2E","0","Cart Page","2","0","TC-19: Proceeding to checkout differs for a guest and a signed-in visitor","0"
"0","Functional E2E","0","Home Page","2","0","TC-06: Adding a product to the cart from the home page shows a confirmation notification","0"
"0","API","0","Account API","1","0","API-01: Creating an account with valid data succeeds","0"
"0","Functional E2E","0","Signup Page","2","0","TC-11: A new visitor completes signup end to end and lands signed in","0"
"0","Functional E2E","0","Login Page","2","0","TC-07: Signing in with wrong credentials is rejected","0"
"0","API","0","Account API","1","0","API-06: Verifying login with an unregistered email is rejected","0"
"0","Functional E2E","0","Home Page","2","0","TC-04: Selecting a category or a brand filters the catalog accordingly","0"
"0","API","0","Account API","1","0","API-02: Creating an account with a required field missing is rejected","0"
"0","Functional E2E","0","Cart Page","2","0","TC-18: The cart starts empty, and adding products from the home page notifies for each until one is removed","0"
"0","Visual Regression","0","Checkout Page","1","0","VR-28: Address details","0"
"0","Functional E2E","0","Product Detail Page","2","0","TC-16: The product detail page shows the product's full information","0"
"0","Visual Regression","0","Home Page","1","0","VR-02: Category sidebar","0"
"0","Functional E2E","0","Login Page","2","0","TC-10: A signed-in user can delete their account, with the deletion confirmed","0"
"0","Visual Regression","0","Signup Page","1","0","VR-15: Address Information form","0"
"0","API","0","Account API","1","0","API-08: Deleting an account removes it, confirmed by a repeat lookup","0"
"0","API","0","Catalog API","1","0","API-15: An unsupported method on the brands list endpoint is rejected","0"
"0","Functional E2E","0","Home Page","2","0","TC-01: Every section of the home page renders, and the newsletter subscription works","0"
"0","Functional E2E","0","Login Page","2","0","TC-08: A registered user can sign in with valid credentials","0"
"0","Visual Regression","0","Login Page","1","0","VR-12: Login form, error","0"
"0","Functional E2E","0","Products Page","2","0","TC-14: Searching for a product shows only matching results, and opening one reaches its detail page","0"
"0","API","0","Account API","1","0","API-07: Looking up a user by email returns their profile","0"
"0","API","0","Account API","1","0","API-04: An unsupported method on the account endpoint is rejected","0"
"0","API","0","Account API","1","0","API-17: An unsupported method on the verify login endpoint is rejected","0"
"0","Visual Regression","0","Cart Page","1","0","VR-25: Cart, empty","0"
"0","API","0","Catalog API","1","0","API-10: The brands list returns every catalog brand","0"
"0","Visual Regression","0","Checkout Page","1","0","VR-29: Order review block","0"
